FR ID,Domain,Priority,Description,Status,Completion,Completed,In Progress,Not Started
FR 1.1,User Management,High,Email/password registration and login with JWT,Done,100%,"Go backend register/login endpoints; bcrypt password hashing; JWT generation and validation; token stored in localStorage",,
FR 1.2,User Management,High,Enterprise SSO integration (LDAP / Active Directory / Okta),In Progress,70%,"Auth0 OIDC integration; Go backend JWKS verification + user upsert (auto-create on first SSO login); frontend Auth0Provider + Callback page; Login page SSO button; bcrypt dummy hash for SSO users","Auth0 redirect and Google login page work; callback URL reached with code; user upsert logic implemented","Token exchange 401 pending Auth0 tenant config fix; LDAP/Active Directory not implemented"
FR 1.3,User Management,Medium,User profile with configurable preferences (language / result count / reranker toggle),Done,100%,"Go handler GetProfile + UpdatePreferences; PostgreSQL user_preferences columns (preferred_language, results_per_page, reranker_enabled); Settings.jsx UI with language/results-per-page/reranker toggle; Results.jsx loads preferences on mount and applies reranker default and page size",,
FR 1.4,User Management,High,Persistent conversation history stored per authenticated user,In Progress,75%,"PostgreSQL search history per user (JWT-gated); Redis chat sessions keyed by query slug (7-day TTL); full CRUD API","Session list UI incomplete","Full multi-turn session re-open (restore all messages into ChatWidget); per-user session index page"
FR 1.5,User Management,Medium,History panel with search / filter by date / delete / re-open past sessions,In Progress,40%,"HistoryContext with fetch / add / deleteAll / deleteSingle; basic history list rendered in UI","List exists but no filter or search controls","Filter-by-date UI; keyword search within history; re-open session to restore full conversation"
FR 1.6,User Management,Medium,Session management with configurable timeout TTL,Done,100%,"JWT expiry via JWTExpiryHours env var (configurable); Redis sessions have TTL set; session timeout handled by JWT validation middleware",,
FR 2.1,Core Search,High,"Dual-panel layout: left = ranked document list, right = AI conversation panel",In Progress,70%,"Results page with search result list, AISummary component, People Also Ask sidebar, and Research Workspace drawer (3-column on XL screens)","Layout exists but AI panel is a floating widget not a docked column","True side-by-side 2-column layout with docked AI panel; follow-up suggestion chips below AI response"
FR 2.2,Core Search,High,Query submission triggers hybrid retrieval Stage 1 (BM25 + HNSW) and Stage 2 (reranker),Done,100%,"Full pipeline: BM25 inverted index + CLIP HNSW vector search → true RRF fusion (k=60) → multimodal LTR reranker; per-stage timings returned in API",,
FR 2.3,Core Search,High,"Document list shows Top-K results with title, source, snippet, relevance badge, and thumbnail",In Progress,80%,"Title, URL, snippet, relevance score badge (green/yellow/red thresholds), rank delta badge, up to 4 image thumbnails; results injected into LLM on first chat turn","Rank delta and score badge done; chunk-level detail not yet available","Chunk-level result cards (page number / chunk ID / modified date); content type badge; document detail drawer on click"
FR 2.4,Core Search,High,AI panel generates answer with inline citations and supports follow-up questions,In Progress,90%,"AISummary with markdown rendering; ChatWidget with full multi-turn session support; markdown rendered in chat bubbles; query rewriting integrated","Inline citations appear as plain text references (Result 1 / Result 2) but not linked in UI","Streaming SSE responses; structured citation objects in API; frontend citation links from AI text to specific result cards"
FR 2.5,Core Search,High,"Follow-up questions maintain session state, query rewriter converts them to standalone search queries, and doc list updates",In Progress,55%,"refine_search_query() implemented in llm_service.py; ChatWidget sends refined query to Results page via navigation","Query rewriting works; doc panel refresh on follow-up navigation works","Auto-refresh of doc panel without full page navigate; seamless RAG loop staying within same view"
FR 3.1,Data Ingestion,High,"Automated ingestion from Confluence, Google Drive, Git repositories, and local network shares",In Progress,30%,Web crawler (DrissionPage-based) crawls public URLs and indexes HTML content and images,"scripts/backup_gdrive.sh: one-shot script that pg_dumps from Docker container or direct host, gzips, uploads via rclone to Google Drive remote named 'gdrive', auto-prunes to keep last 30 backups","Confluence REST API connector; Git repository parser; SMB/NFS network share reader"
FR 3.2,Data Ingestion,High,"Document chunking by paragraph, heading, or fixed token count into semantically meaningful chunks",Done,100%,"Jieba-based tokenization pipeline (tokenizer_service.py) used for both indexing and search; BM25 inverted index built over tokenized content; admin Search Debugger panel shows tokenization visualization (token chips, keyword extraction) and full pipeline trace",,
FR 3.3,Data Ingestion,Medium,"Configurable index refresh strategy: real-time incremental or scheduled batch",Done,100%,"Admin Index panel exposes manual re-index trigger; index_admin_router.py provides rebuild endpoints; admin dashboard shows index staleness and last-updated time",,
FR 3.4,Data Ingestion,High,BM25 inverted index built over all text content,Done,100%,"SQL-based posting lists (terms / postings / doc_stats tables); BM25 scoring with TF-IDF weighting; BM25Calculator service; online index update on each ingestion",,
FR 3.5,Data Ingestion,High,CLIP embeddings and HNSW ANN index built for text and image content,Done,100%,"CLIP-ViT-B-32 512-dim embeddings via sentence-transformers; pgvector HNSW cosine index; separate image_embeddings table; GPU-accelerated inference on RTX 2080 Ti (12.8 ms per batch)",,
FR 4.1,Retrieval,High,BM25 keyword retrieval returns top-N results ranked by keyword relevance,Done,100%,"BM25Calculator with configurable k1/b parameters; posting list lookup; top-K configurable via settings; tokenised query preprocessing with jieba",,
FR 4.2,Retrieval,High,Dense vector retrieval encodes query and retrieves semantically similar chunks via HNSW,Done,100%,"CLIP text-to-vector encoding; pgvector cosine similarity ANN search; configurable top-K; runs in parallel with BM25",,
FR 4.3,Retrieval,High,Hybrid retrieval fuses BM25 and vector results using Reciprocal Rank Fusion,Done,100%,"True RRF fusion (score = 1 / (k + rank) summed across both lists, k=60); parallel BM25 and vector execution; merged ranked candidate list as Stage 1 output",,
FR 4.4,Retrieval,High,"Retrieved results include metadata: source, page number, chunk ID, modified date, content type, relevance score",In Progress,80%,"Source URL, title, snippet (~200 chars), RRF relevance score, rank delta (pre vs post reranker), per-stage timing breakdown, image thumbnails","Score and rank delta displayed; source URL shown","Page number; chunk ID; modified date; content type badge — all absent because document chunking is not implemented"
FR 4.5,Retrieval,Medium,"Metadata pre-filtering by date range, source type, domain, and content type",Done,100%,"Filter UI panel in Results.jsx (date from/to, content type, source type); search_service._apply_filters() pre-fetches matching doc IDs; BM25 and vector results filtered before RRF fusion; SearchRequest.filters field wired end-to-end",,
